,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp,Timestamp
0,1,Bitcoin,BTC,bitcoin,11132,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19715050.0,19715050.0,False,,1,,,,2024-06-21T15:48:00.000Z,63409.37594134675,26526790569.731277,13.6603,-1.2059966,-2.34169561,-4.73813508,-10.04592294,-3.99171603,-2.31879303,1250119017152.4482,53.8386,1331596894768.28,,2024-06-21T15:48:00.000Z,,,,,,2024-06-21 22:48:33.392910,
1,1027,Ethereum,ETH,ethereum,9077,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,122276728.43750449,122276728.43750449,True,,2,,,,2024-06-21T15:47:00.000Z,3474.4555208754014,15364284518.12221,-4.6816,-1.00724002,-1.36939278,0.18858203,-7.74544234,9.132085,2.33444684,424845054194.26965,18.2802,424845054194.27,,2024-06-21T15:47:00.000Z,,,,,,2024-06-21 22:48:33.392910,
2,825,Tether USDt,USDT,tether,89295,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,112891354601.68275,116081999193.07195,True,,3,,,,2024-06-21T15:47:00.000Z,0.9993387778768503,52858600557.67028,3.5559,-0.02591286,-0.01813396,-0.04278362,-0.0602832,-0.14978099,-0.0847141,112816708340.50778,4.8554,116005243207.11,,2024-06-21T15:47:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-06-21 22:48:33.392910,
3,1839,BNB,BNB,bnb,2186,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,147583731.35556507,147583731.35556507,False,,4,,,,2024-06-21T15:47:00.000Z,581.1077378535336,1796740187.4837582,4.4332,-0.62515958,-2.80672469,-3.54601292,-6.38783182,-2.46668435,3.71824769,85762048272.01604,3.691,85762048272.02,,2024-06-21T15:47:00.000Z,,,,,,2024-06-21 22:48:33.392910,
4,5426,Solana,SOL,solana,690,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,462008197.5773175,578621125.0197691,True,,5,,,,2024-06-21T15:47:00.000Z,131.44935443094542,2057808812.350844,-16.847,-0.71623771,-2.14051701,-8.67163591,-27.63159993,-14.3474486,-24.83152893,60730679313.34306,2.6137,76059373343.96,,2024-06-21T15:47:00.000Z,,,,,,2024-06-21 22:48:33.392910,
5,3408,USDC,USDC,usd-coin,19831,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,32696526721.3748,32696526721.3748,False,,6,,,,2024-06-21T15:47:00.000Z,0.9999873171882916,5615671056.171372,14.0958,-0.0073527,-0.00579571,-0.03316842,-0.01795787,-0.03186451,-0.01287098,32696112037.482876,1.4066,32696112037.48,,2024-06-21T15:47:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-06-21 22:48:33.392910,
6,52,XRP,XRP,xrp,1342,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,55618185850.0,99987512072.0,False,,7,,,,2024-06-21T15:48:00.000Z,0.48376995322972177,1093147415.8166857,-1.9135,-1.02073477,-2.37653512,1.97376354,-9.73337349,-10.29596407,-22.91655864,26906407167.376472,1.158,48376995322.97,,2024-06-21T15:48:00.000Z,,,,,,2024-06-21 22:48:33.392910,
7,74,Dogecoin,DOGE,dogecoin,1009,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,144802506383.7052,144802506383.7052,True,,8,,,,2024-06-21T15:48:00.000Z,0.12222437765816213,620682339.1423353,-11.8128,-1.03124275,-0.91112985,-12.35936471,-27.91604951,-23.04123267,-26.47597608,17698396226.090416,0.7614,17698396226.09,,2024-06-21T15:48:00.000Z,,,,,,2024-06-21 22:48:33.392910,
8,11419,Toncoin,TON,toncoin,430,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2458149260.7763977,5107899197.7301035,True,,9,3414166606.0,24347354385.74795,,2024-06-21T15:47:00.000Z,7.131273073481626,263083450.47521308,-0.3829,-0.91404309,-0.09182778,-10.17677106,11.57542581,17.57900209,42.5132702,17529733633.973488,0.7542,36425824010.83,,2024-06-21T15:47:00.000Z,,,,,,2024-06-21 22:48:33.392910,
9,2010,Cardano,ADA,cardano,1196,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35736787310.749,36980576545.153,False,,10,,,,2024-06-21T15:47:00.000Z,0.37973824576841225,278673189.7665022,1.1699,-0.57515589,-0.88184244,-8.54270053,-21.54256192,-26.35174376,-39.98125296,13570624922.78268,0.5839,17088221059.58,,2024-06-21T15:47:00.000Z,,,,,,2024-06-21 22:48:33.392910,
